Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
Jeremy Pe\xc3\xb1a,28,6,Maj-AL,Houston,88,380,349,67,99,16,1,17,46,22,0,84,7,0,2,3,9,1,0.284,0.337,0.481,0.818,665161
Oswald Peraza,26,6,Maj-AL,Los Angeles,111,338,311,30,70,12,2,7,24,15,0,101,10,1,1,8,12,2,0.225,0.282,0.344,0.626,672724
Geraldo Perdomo,26,6,Maj-NL,Arizona,134,580,483,64,122,18,6,9,47,81,0,72,4,6,6,10,19,9,0.253,0.361,0.371,0.731,672695
Jhonny Pereda,30,11,Maj-AL,Seattle,26,82,76,9,21,0,0,2,4,5,0,16,1,0,0,1,0,0,0.276,0.329,0.355,0.685,640902
Everson Pereira,25,16,"Maj-AL,Maj-NL","Chicago,St. Louis",38,111,98,10,23,5,0,5,12,6,0,37,5,1,1,3,1,0,0.235,0.309,0.439,0.748,677592
Junior Perez,24,42,Maj-AL,Chicago,22,36,35,5,6,0,0,3,6,1,0,14,0,0,0,0,0,1,0.171,0.194,0.429,0.623,678577
Salvador Perez,36,7,Maj-AL,Kansas City,128,535,494,46,110,21,1,17,62,20,2,106,12,0,7,19,1,0,0.223,0.266,0.372,0.639,521692
Wenceel P\xc3\xa9rez,26,82,Maj-AL,Detroit,53,175,161,22,29,4,1,7,17,14,0,29,0,0,0,1,3,1,0.18,0.246,0.348,0.594,672761
Blake Perkins,29,42,Maj-NL,Milwaukee,55,101,89,14,14,6,0,1,11,10,0,22,1,1,0,1,3,1,0.157,0.25,0.258,0.508,663368
Tristan Peters,26,6,Maj-AL,Chicago,132,414,370,54,103,27,3,12,52,32,0,75,6,4,2,0,7,2,0.278,0.344,0.465,0.809,671976
Tommy Pham,38,133,Maj-NL,New York,9,14,13,1,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0.0,0.071,0.0,0.071,502054
Yohendrick Pinango,24,39,Maj-AL,Toronto,58,180,169,12,44,8,0,5,20,11,0,44,0,0,0,6,0,0,0.26,0.306,0.396,0.702,682818
Andrew Pinckney,25,6,Maj-NL,Washington,13,25,22,6,6,0,1,1,2,1,0,8,1,0,1,0,1,1,0.273,0.32,0.5,0.82,687605
Kenny Piper,27,6,Maj-AL,Tampa Bay,9,10,9,3,2,0,0,1,2,1,0,3,0,0,0,0,1,0,0.222,0.3,0.556,0.856,700652
Jorge Polanco,32,20,Maj-NL,New York,37,145,135,7,20,5,0,2,6,9,0,36,0,1,0,2,0,0,0.148,0.201,0.23,0.431,593871
Logan Porter,30,81,"Maj-AL,Maj-NL","Los Angeles,San Francisco",3,6,4,2,1,1,0,0,0,2,0,2,0,0,0,0,0,0,0.25,0.5,0.5,1.0,682515
Yohel Pozo,29,8,"Maj-AL,Maj-NL","Baltimore,St. Louis",30,50,48,3,12,1,0,1,7,1,0,6,0,0,1,5,0,0,0.25,0.26,0.333,0.593,650968
Cooper Pratt,21,6,Maj-NL,Milwaukee,53,187,159,25,43,5,1,3,22,18,0,36,2,1,7,8,12,2,0.27,0.339,0.371,0.71,806198
Collin Price,26,84,Maj-AL,Houston,7,13,12,1,2,1,0,0,0,1,0,6,0,0,0,0,0,0,0.167,0.231,0.25,0.481,805672
C\xc3\xa9sar Prieto,27,23,Maj-NL,St. Louis,12,31,31,1,2,0,0,0,0,0,0,4,0,0,0,1,0,0,0.065,0.065,0.065,0.129,693409
Edgar Quero,23,24,Maj-AL,Chicago,65,210,183,14,38,1,0,3,19,16,0,42,4,2,5,5,1,0,0.208,0.279,0.262,0.541,700337
Jeferson Quero,23,161,Maj-NL,Milwaukee,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.5,0.0,0.5,691620
Ceddanne Rafaela,25,6,Maj-AL,Boston,133,563,529,67,150,32,3,16,70,21,1,113,8,2,3,10,17,9,0.284,0.319,0.446,0.765,678882
Cal Raleigh,29,6,Maj-AL,Seattle,104,432,368,35,63,9,0,20,54,58,0,136,3,0,3,5,2,1,0.171,0.287,0.359,0.646,663728
Luke Raley,31,38,Maj-AL,Seattle,95,287,262,28,59,9,1,15,39,15,1,93,7,2,1,1,1,2,0.225,0.284,0.439,0.723,670042
