Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
CJ Abrams,25,7,Maj-NL,Washington,131,565,498,81,133,26,3,29,92,49,3,136,12,0,6,7,26,5,0.267,0.343,0.506,0.849,682928
Wilyer Abreu,27,6,Maj-AL,Boston,135,590,515,76,131,31,4,23,70,62,3,120,3,1,7,9,8,4,0.254,0.334,0.464,0.798,677800
Luisangel Acu\xc3\xb1a,24,11,Maj-AL,Chicago,89,207,194,21,46,4,0,1,12,8,0,40,1,2,2,5,16,6,0.237,0.268,0.273,0.541,682668
Ronald Acu\xc3\xb1a Jr.,28,6,Maj-NL,Atlanta,85,374,320,47,77,13,1,13,36,47,2,87,5,0,2,2,19,8,0.241,0.345,0.409,0.754,660670
Willy Adames,30,14,Maj-NL,San Francisco,120,501,461,62,107,25,1,21,51,37,0,138,2,0,1,3,5,2,0.232,0.291,0.427,0.719,642715
Jo Adell,27,7,Maj-AL,"Cleveland,Los Angeles",134,554,508,56,122,22,1,20,83,26,1,134,16,0,4,14,4,0,0.24,0.296,0.406,0.702,666176
Ozzie Albies,29,6,Maj-NL,Atlanta,138,588,527,74,134,24,0,20,67,41,1,84,7,0,13,4,3,4,0.254,0.31,0.414,0.723,645277
Kevin Alc\xc3\xa1ntara,23,14,Maj-NL,Chicago,24,28,25,6,6,0,0,1,6,2,0,11,0,0,1,1,0,1,0.24,0.286,0.36,0.646,682634
Blaze Alexander,27,6,Maj-AL,Baltimore,85,259,233,32,71,12,2,4,29,17,1,55,4,2,1,5,9,3,0.305,0.361,0.425,0.786,677942
Eliezer Alfonzo,26,34,Maj-NL,Los Angeles,12,27,27,3,5,2,0,0,4,0,0,2,0,0,0,0,0,0,0.185,0.185,0.259,0.444,672613
Nick Allen,27,6,Maj-AL,Houston,78,147,131,22,36,5,0,2,13,9,0,30,1,3,3,3,2,0,0.275,0.319,0.359,0.678,669397
Pete Alonso,31,6,Maj-AL,Baltimore,138,598,518,84,139,24,0,32,91,67,5,145,9,0,4,12,5,1,0.268,0.36,0.5,0.86,624413
Jose Altuve,36,7,Maj-AL,Houston,111,471,428,61,106,18,2,14,41,38,1,96,2,1,2,16,4,3,0.248,0.311,0.397,0.708,514888
Francisco Alvarez,24,6,Maj-NL,New York,97,355,312,29,73,12,0,13,34,36,1,108,4,0,1,16,0,0,0.234,0.32,0.397,0.718,682626
Yordan Alvarez,29,6,Maj-AL,Houston,136,597,489,91,155,28,1,37,94,94,29,103,9,0,5,5,1,0,0.317,0.432,0.605,1.037,670541
Adael Amador,23,18,Maj-NL,Colorado,5,13,10,5,3,1,0,1,6,3,0,5,0,0,0,0,0,0,0.3,0.462,0.7,1.162,691182
Miguel Amaya,27,6,Maj-NL,Chicago,74,223,190,32,44,9,0,5,23,22,0,58,9,1,0,8,0,0,0.232,0.339,0.358,0.697,665804
Miguel Andujar,31,49,Maj-NL,San Diego,74,254,239,24,62,20,2,5,22,11,2,38,4,0,0,12,2,2,0.259,0.303,0.423,0.726,609280
Roman Anthony,22,6,Maj-AL,Boston,32,139,117,14,29,7,2,1,5,21,1,33,1,0,0,1,2,0,0.248,0.367,0.368,0.734,701350
Sam Antonacci,23,6,Maj-AL,Chicago,117,468,402,69,108,20,3,8,40,38,0,74,24,3,1,2,17,6,0.269,0.366,0.393,0.759,803011
Jonathan Aranda,28,6,Maj-AL,Tampa Bay,134,583,506,64,140,21,0,17,79,61,3,134,9,0,7,14,0,1,0.277,0.36,0.419,0.779,666018
Orlando Arcia,31,84,Maj-AL,Minnesota,19,50,48,6,13,1,0,1,2,2,0,8,0,0,0,3,0,1,0.271,0.3,0.354,0.654,606115
Nolan Arenado,35,6,Maj-NL,Arizona,129,504,450,65,107,21,1,21,65,43,2,103,7,0,3,11,4,0,0.238,0.312,0.429,0.741,571448
Gabriel Arias,26,6,"Maj-AL,Maj-NL","Chicago,Cleveland,New York",48,146,138,14,33,3,0,5,13,8,1,60,0,0,0,1,4,0,0.239,0.281,0.37,0.65,672356
Randy Arozarena,31,6,Maj-AL,Seattle,130,561,482,88,132,27,1,21,62,56,0,120,20,0,3,15,20,8,0.274,0.371,0.465,0.835,668227
Luis Arraez,29,6,Maj-NL,"Philadelphia,San Francisco",129,563,516,63,163,28,7,6,55,26,4,24,4,6,11,13,10,0,0.316,0.346,0.432,0.779,650333
Edwin Arroyo,22,6,Maj-NL,Cincinnati,47,151,140,13,32,3,1,0,5,5,0,37,3,2,1,0,1,1,0.229,0.268,0.264,0.533,695490
Jos\xc3\xa9 Az\xc3\xb3car,30,61,Maj-NL,Atlanta,11,18,17,2,6,2,0,0,0,1,0,4,0,0,0,0,1,0,0.353,0.389,0.471,0.859,640492
Harrison Bader,32,100,Maj-NL,San Francisco,29,108,103,10,18,5,0,5,14,4,0,32,0,0,1,3,0,0,0.175,0.204,0.369,0.573,664056
Jihwan Bae,26,23,Maj-NL,Milwaukee,4,4,2,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0.5,0.667,0.5,1.167,678225
Javier B\xc3\xa1ez,33,7,Maj-AL,Detroit,46,165,157,24,40,10,1,2,14,5,0,31,2,0,1,4,1,2,0.255,0.285,0.369,0.654,595879
Joshua B\xc3\xa1ez,23,7,Maj-NL,St. Louis,16,59,54,7,9,2,0,5,10,3,0,22,1,0,1,0,2,1,0.167,0.22,0.481,0.702,695491
Patrick Bailey,27,9,"Maj-AL,Maj-NL","Cleveland,San Francisco",91,283,253,24,51,7,1,7,30,25,0,70,0,2,3,6,3,0,0.202,0.27,0.32,0.591,672275
Luken Baker,29,145,Maj-NL,Arizona,3,5,5,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0.2,0.2,0.2,0.4,663609
Drake Baldwin,25,6,Maj-NL,Atlanta,115,509,452,73,126,14,0,22,68,49,2,109,7,0,1,13,3,1,0.279,0.358,0.456,0.813,686948
Mois\xc3\xa9s Ballesteros,22,6,"Maj-AL,Maj-NL","Chicago,Los Angeles",83,273,248,20,51,9,0,6,27,23,0,63,0,0,2,3,1,0,0.206,0.271,0.315,0.586,694208
Will Banfield,26,8,Maj-NL,Cincinnati,3,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,677943
Addison Barger,26,120,Maj-AL,Toronto,9,28,22,2,1,1,0,0,2,5,0,7,0,0,1,1,0,0,0.045,0.214,0.091,0.305,680718
Jorge Barrosa,25,8,Maj-NL,Arizona,96,159,134,28,27,11,1,2,12,14,0,42,2,8,1,1,3,0,0.201,0.285,0.343,0.628,678489
Joey Bart,29,31,"Maj-AL,Maj-NL","Atlanta,Chicago,Pittsburgh",44,128,112,13,24,4,0,4,13,7,0,35,8,0,1,1,0,0,0.214,0.305,0.357,0.662,663698
Osleivis Basabe,25,6,Maj-NL,San Francisco,28,98,92,9,19,2,0,4,9,2,0,17,3,0,1,0,2,2,0.207,0.245,0.359,0.604,678545
Samuel Basallo,21,6,Maj-AL,Baltimore,96,348,316,36,73,10,1,17,49,28,2,94,2,0,2,7,0,0,0.231,0.296,0.43,0.726,694212
Brett Bateman,24,7,Maj-AL,Toronto,19,88,78,10,26,4,1,0,7,7,0,19,0,2,1,0,3,0,0.333,0.384,0.41,0.794,703520
Brett Baty,26,7,Maj-NL,New York,122,413,369,45,82,17,1,8,40,36,0,115,3,0,4,5,5,1,0.222,0.294,0.339,0.632,683146
Jake Bauers,30,6,Maj-NL,Milwaukee,123,493,412,78,113,19,2,23,76,75,4,127,4,0,2,5,10,4,0.274,0.389,0.498,0.887,641343
Travis Bazzana,23,7,Maj-AL,Cleveland,101,432,374,42,89,17,2,9,42,48,1,93,5,0,5,2,18,5,0.238,0.329,0.366,0.695,683953
Dylan Beavers,24,6,Maj-AL,Baltimore,82,273,241,32,60,16,0,6,32,28,1,70,2,1,1,2,5,5,0.249,0.331,0.39,0.721,687637
Jordan Beck,25,6,Maj-NL,Colorado,47,142,131,13,27,7,2,1,11,10,0,41,0,0,1,5,2,1,0.206,0.261,0.313,0.574,687597
Josh Bell,33,6,Maj-AL,Minnesota,132,538,487,68,123,27,1,17,83,42,0,108,4,0,4,14,2,0,0.253,0.315,0.417,0.732,605137
Cody Bellinger,30,6,Maj-AL,New York,110,466,404,56,105,22,3,12,59,56,0,72,0,0,6,3,10,6,0.26,0.345,0.418,0.764,641355
Carson Benge,23,6,Maj-NL,New York,132,545,499,69,138,18,3,16,54,39,1,119,6,0,1,7,19,4,0.277,0.336,0.421,0.757,701807
Andrew Benintendi,31,6,Maj-AL,Chicago,120,408,368,51,91,21,2,14,69,33,1,96,1,1,5,6,1,0,0.247,0.307,0.429,0.736,643217
Will Benson,28,84,Maj-NL,Cincinnati,51,114,96,11,18,3,1,3,6,16,1,38,1,0,0,0,1,1,0.188,0.31,0.333,0.643,666181
Victor Bericoto,24,14,Maj-NL,San Francisco,33,87,86,7,21,3,0,4,12,1,0,24,0,0,0,3,1,2,0.244,0.253,0.419,0.671,682674
Steward Berroa,27,88,Maj-NL,Philadelphia,6,7,7,0,1,0,0,0,1,0,0,4,0,0,0,0,0,0,0.143,0.143,0.143,0.286,672642
Mookie Betts,33,7,Maj-NL,Los Angeles,100,423,389,51,93,16,0,16,47,31,3,47,2,0,1,14,1,2,0.239,0.298,0.404,0.701,605141
Bo Bichette,28,6,Maj-NL,New York,136,584,537,65,141,23,2,14,66,38,0,106,2,0,7,15,1,1,0.263,0.31,0.391,0.701,666182
Tyler Black,25,120,Maj-NL,Milwaukee,9,28,27,2,9,4,0,0,7,1,0,7,0,0,0,1,0,0,0.333,0.357,0.481,0.839,672012
JJ Bleday,28,6,Maj-NL,Cincinnati,110,459,388,51,84,14,2,21,52,64,1,98,3,0,3,5,6,5,0.216,0.33,0.425,0.755,668709
Ryan Bliss,26,89,Maj-AL,Seattle,3,10,8,0,1,0,0,0,1,1,0,3,0,0,1,0,0,0,0.125,0.2,0.125,0.325,669208
Xander Bogaerts,33,6,Maj-NL,San Diego,131,519,447,52,97,14,0,11,51,63,1,93,4,0,5,9,18,1,0.217,0.316,0.322,0.638,593428
Alec Bohm,29,6,Maj-NL,Philadelphia,132,538,488,52,119,22,1,14,76,36,1,75,9,0,5,19,2,0,0.244,0.305,0.379,0.684,664761
Henry Bolte,22,6,Maj-AL,Athletics,95,364,323,39,87,12,1,6,26,25,0,100,12,1,2,5,14,8,0.269,0.343,0.368,0.711,703607
Jase Bowen,25,7,Maj-NL,San Diego,62,84,80,14,13,2,0,2,7,2,0,31,2,0,0,0,6,1,0.163,0.202,0.263,0.465,687749
Jack Brannigan,25,24,Maj-NL,Pittsburgh,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,687394
Alex Bregman,32,6,Maj-NL,Chicago,135,620,539,80,139,27,1,23,77,66,2,96,9,0,6,16,3,1,0.258,0.345,0.44,0.785,608324
Will Brennan,28,102,Maj-NL,San Francisco,11,23,23,0,2,0,0,0,0,0,0,3,0,0,0,1,0,0,0.087,0.087,0.087,0.174,686823
Jonah Bride,30,27,Maj-AL,Texas,2,6,5,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0.2,0.333,0.2,0.533,681146
Juan Brito,24,133,Maj-AL,Cleveland,15,56,51,7,9,4,0,0,3,4,0,17,1,0,0,1,0,0,0.176,0.25,0.255,0.505,682877
Vidal Bruj\xc3\xa1n,28,83,Maj-NL,New York,9,13,11,4,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0.091,0.167,0.091,0.258,660644
Jake Burger,30,6,Maj-AL,Texas,131,521,475,55,113,21,0,23,78,40,0,138,4,0,2,6,3,1,0.238,0.301,0.427,0.729,669394
Alec Burleson,27,7,Maj-NL,St. Louis,137,578,521,78,150,33,1,21,100,48,4,96,6,0,3,11,4,0,0.288,0.353,0.476,0.829,676475
Michael Busch,28,6,Maj-NL,Chicago,136,613,519,62,124,24,2,17,68,78,1,141,12,0,4,9,2,1,0.239,0.349,0.391,0.74,683737
Lawrence Butler,25,6,Maj-AL,Athletics,129,435,378,53,87,16,1,12,45,54,1,112,1,1,1,5,10,4,0.23,0.327,0.373,0.7,671732
Byron Buxton,32,12,Maj-AL,Minnesota,93,408,370,65,94,18,1,25,46,30,2,100,6,0,2,4,7,1,0.254,0.319,0.511,0.829,621439
Jos\xc3\xa9 Caballero,29,6,Maj-AL,New York,116,401,364,42,87,12,0,13,46,23,0,96,7,3,4,8,31,9,0.239,0.294,0.379,0.673,676609
Oswaldo Cabrera,27,67,Maj-AL,New York,3,11,9,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0.0,0.0,0.0,0.0,665828
Jac Caglianone,23,7,Maj-AL,Kansas City,126,492,457,64,130,25,2,23,66,29,2,128,5,0,1,5,6,2,0.284,0.333,0.499,0.832,695506
Owen Caissie,23,8,Maj-NL,Miami,99,304,270,39,60,14,0,13,52,23,0,114,4,0,7,3,5,1,0.222,0.286,0.419,0.705,683357
Alex Call,31,9,Maj-NL,Los Angeles,72,163,137,21,35,7,0,1,18,19,0,29,5,0,2,2,1,1,0.255,0.362,0.328,0.69,669743
Brett Callahan,24,6,Maj-AL,Detroit,12,34,30,2,8,1,1,1,6,2,0,9,1,0,1,0,0,0,0.267,0.324,0.467,0.79,814430
Tyler Callihan,26,40,Maj-NL,Pittsburgh,37,107,95,13,20,4,2,3,15,9,0,38,1,1,1,0,1,0,0.211,0.283,0.389,0.672,682997
Jair Camargo,26,81,Maj-NL,Atlanta,1,2,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0.5,1.0,1.5,665856
Daz Cameron,29,8,Maj-AL,Toronto,8,25,24,3,5,1,0,1,3,0,0,7,0,0,1,0,0,0,0.208,0.2,0.375,0.575,663662
Junior Caminero,22,6,Maj-AL,Tampa Bay,137,597,522,85,147,20,1,37,87,70,11,109,3,0,2,23,3,3,0.282,0.369,0.536,0.905,691406
Gustavo Campero,28,12,Maj-AL,Los Angeles,4,12,11,0,4,1,0,0,2,0,0,4,0,0,1,0,0,0,0.364,0.333,0.455,0.788,672569
Luis Campusano,27,6,Maj-NL,San Diego,53,176,150,18,43,11,0,5,23,24,0,39,2,0,0,4,0,0,0.287,0.392,0.46,0.852,669134
Jeimer Candelario,32,151,Maj-AL,Los Angeles,7,20,18,3,2,2,0,0,0,1,0,8,1,0,0,1,0,0,0.111,0.2,0.222,0.422,600869
Dominic Canzone,28,6,Maj-AL,Seattle,122,424,380,47,97,22,2,20,61,37,2,93,5,0,2,8,2,1,0.255,0.328,0.482,0.809,686527
Victor Caratini,32,8,Maj-AL,Minnesota,94,344,293,27,65,9,0,7,39,33,1,68,10,0,8,7,0,0,0.222,0.314,0.324,0.638,605170
Dylan Carlson,27,153,Maj-NL,Chicago,3,4,4,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,666185
Kerry Carpenter,28,42,Maj-AL,Detroit,81,259,231,27,48,5,2,13,36,18,0,75,5,0,3,2,0,0,0.208,0.276,0.416,0.692,681481
Cole Carrigg,24,6,Maj-NL,Colorado,69,271,235,38,61,18,3,6,36,27,2,60,4,1,4,3,8,3,0.26,0.341,0.438,0.779,694249
Corbin Carroll,25,6,Maj-NL,Arizona,135,586,504,83,123,28,16,19,61,69,3,127,8,0,5,7,20,3,0.244,0.341,0.476,0.817,682998
Evan Carter,23,6,Maj-AL,Texas,118,389,334,43,64,13,2,8,33,43,0,94,4,7,1,1,14,2,0.192,0.291,0.314,0.605,694497
Nick Castellanos,34,98,Maj-NL,San Diego,39,122,115,9,22,5,0,4,20,5,1,34,0,0,2,1,2,0,0.191,0.221,0.339,0.56,592206
Willi Castro,29,6,Maj-NL,Colorado,120,477,427,65,111,20,1,15,56,41,0,129,6,0,3,4,10,6,0.26,0.331,0.417,0.748,650489
Cam Cauley,23,24,Maj-AL,Texas,28,65,58,9,12,3,1,1,1,5,0,15,1,1,0,2,0,0,0.207,0.281,0.345,0.626,695508
Drew Cavanaugh,24,8,Maj-NL,San Francisco,41,119,102,5,23,1,0,0,7,15,0,32,0,2,0,3,1,0,0.225,0.325,0.235,0.56,701852
Andr\xc3\xa9s Chaparro,27,6,Maj-NL,Washington,65,171,146,30,36,11,0,9,33,20,0,38,5,0,0,4,0,0,0.247,0.357,0.507,0.864,665953
Matt Chapman,33,68,Maj-NL,San Francisco,83,348,304,35,72,18,1,7,42,36,1,81,5,0,3,6,0,2,0.237,0.325,0.372,0.696,656305
Tsung-Che Cheng,24,46,Maj-AL,Boston,14,44,39,7,10,1,0,0,5,4,0,14,0,0,1,1,0,2,0.256,0.318,0.282,0.6,691907
Jazz Chisholm Jr.,28,6,Maj-AL,New York,128,496,440,64,100,16,3,18,54,52,3,149,0,0,4,5,39,8,0.227,0.306,0.4,0.706,665862
Jackson Chourio,22,6,Maj-NL,Milwaukee,103,465,424,71,119,23,0,20,57,38,5,111,2,0,1,6,14,3,0.281,0.342,0.476,0.818,694192
Nathan Church,25,7,Maj-NL,St. Louis,118,383,352,43,84,11,2,10,46,21,0,70,3,1,6,5,9,4,0.239,0.283,0.366,0.649,701675
Max Clark,21,6,Maj-AL,Detroit,28,108,98,11,23,4,3,2,13,7,0,23,1,2,0,1,1,0,0.235,0.292,0.398,0.69,703601
Denzel Clarke,26,139,Maj-AL,Athletics,22,60,53,4,9,1,0,0,6,4,0,24,0,3,0,1,2,0,0.17,0.228,0.189,0.417,672016
Jonatan Clase,24,49,Maj-AL,Toronto,9,25,22,4,6,0,0,2,6,3,0,8,0,0,0,0,0,0,0.273,0.36,0.545,0.905,682729
Kody Clemens,30,6,Maj-AL,Minnesota,121,488,446,62,106,21,6,23,69,31,1,111,6,2,3,8,8,2,0.238,0.294,0.466,0.761,665019
Ernie Clement,30,7,Maj-AL,Toronto,134,535,510,54,141,29,1,9,43,18,0,53,2,0,5,11,5,1,0.276,0.301,0.39,0.691,676391
Zach Cole,25,95,Maj-AL,Houston,19,53,51,4,8,1,0,3,8,1,0,21,1,0,0,0,0,0,0.157,0.189,0.353,0.542,805904
Isaac Collins,28,7,Maj-AL,Kansas City,124,451,388,41,90,23,3,6,40,52,0,101,6,2,3,6,6,5,0.232,0.33,0.353,0.683,686555
Michael Conforto,33,6,Maj-NL,Chicago,93,246,213,29,50,13,0,13,37,28,2,70,2,0,3,4,1,0,0.235,0.325,0.479,0.804,624424
Griffin Conine,28,6,Maj-NL,Miami,70,231,199,31,50,6,0,14,31,28,0,71,4,0,0,1,4,0,0.251,0.355,0.492,0.847,665052
William Contreras,28,6,Maj-NL,Milwaukee,127,549,486,67,132,22,1,13,70,52,4,75,4,0,7,13,1,2,0.272,0.342,0.401,0.744,661388
Willson Contreras,34,7,Maj-AL,Boston,125,517,434,66,119,21,3,26,79,57,2,131,22,1,3,9,3,3,0.274,0.384,0.516,0.9,575929
Billy Cook,27,7,Maj-NL,Pittsburgh,74,51,50,11,9,1,1,0,2,1,0,20,0,0,0,0,5,1,0.18,0.196,0.24,0.436,695257
Carlos Correa,31,125,Maj-AL,Houston,32,141,122,22,34,8,0,3,16,18,1,26,0,0,1,5,1,0,0.279,0.369,0.418,0.787,621043
Carlos Cortes,29,6,Maj-AL,Athletics,105,326,291,26,75,15,1,8,38,28,0,53,4,0,3,14,2,0,0.258,0.328,0.399,0.727,666126
Colton Cowser,26,6,Maj-AL,Baltimore,122,333,289,38,64,6,0,13,37,39,0,99,1,1,3,2,8,4,0.221,0.313,0.377,0.69,681297
Jonah Cox,24,6,Maj-NL,San Francisco,38,69,63,12,18,1,2,4,9,3,0,31,0,3,0,0,8,1,0.286,0.318,0.556,0.874,813841
J.P. Crawford,31,6,Maj-AL,Seattle,93,385,325,40,68,11,0,10,30,52,0,82,6,0,2,5,1,3,0.209,0.327,0.335,0.663,641487
Justin Crawford,22,6,Maj-NL,Philadelphia,128,404,368,43,98,17,4,2,34,25,0,70,3,5,3,3,16,4,0.266,0.316,0.351,0.666,702222
Dylan Crews,24,7,Maj-NL,Washington,87,353,322,44,71,14,1,10,34,24,0,86,7,0,0,4,8,0,0.22,0.289,0.363,0.652,686611
Jake Cronenworth,32,6,Maj-NL,San Diego,86,336,298,35,65,11,0,4,26,31,0,79,5,2,0,3,7,1,0.218,0.302,0.295,0.598,630105
Jimmy Crooks,24,8,Maj-NL,St. Louis,52,149,134,10,24,6,0,5,14,9,0,48,5,0,1,2,0,0,0.179,0.255,0.336,0.591,699625
Pete Crow-Armstrong,24,6,Maj-NL,Chicago,138,618,532,100,150,27,7,38,91,71,6,161,11,1,3,2,32,7,0.282,0.376,0.573,0.949,691718
Oneil Cruz,27,7,Maj-NL,Pittsburgh,75,328,289,52,76,11,1,17,52,36,3,114,3,0,0,3,24,4,0.263,0.351,0.484,0.835,665833
Trei Cruz,27,77,Maj-AL,Detroit,2,5,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,669360
Kaelen Culpepper,23,6,Maj-AL,Minnesota,20,78,70,10,22,3,0,3,6,5,0,17,2,0,1,1,0,0,0.314,0.372,0.486,0.858,701785
Travis d\'Arnaud,37,8,Maj-AL,Los Angeles,26,66,58,5,10,1,0,1,3,6,0,18,2,0,0,1,0,0,0.172,0.273,0.241,0.514,518595
Henry Davis,26,9,Maj-NL,Pittsburgh,86,264,229,28,38,5,0,8,32,23,0,57,8,2,2,6,2,1,0.166,0.263,0.293,0.556,680779
Bryan De La Cruz,29,7,Maj-NL,Philadelphia,22,51,45,6,15,2,0,2,11,2,0,11,2,0,2,1,0,0,0.333,0.373,0.511,0.884,650559
Elly De La Cruz,24,6,Maj-NL,Cincinnati,119,533,470,81,127,24,5,21,60,58,0,145,2,0,3,6,24,8,0.27,0.351,0.477,0.827,682829
Deyvison De Los Santos,23,14,Maj-NL,Miami,4,9,9,0,3,1,0,0,0,0,0,3,0,0,0,0,0,0,0.333,0.333,0.444,0.778,691277
Justin Dean,29,35,Maj-NL,Chicago,17,10,8,3,3,0,1,0,3,2,0,4,0,0,0,0,1,0,0.375,0.5,0.625,1.125,681909
Adrian Del Castillo,26,34,Maj-NL,Arizona,59,192,176,18,35,6,0,5,24,13,0,54,0,2,1,5,1,0,0.199,0.253,0.318,0.571,680728
Chase DeLauter,24,7,Maj-AL,Cleveland,115,480,427,55,125,24,3,13,60,50,0,71,0,0,3,8,9,2,0.293,0.365,0.454,0.819,800050
Ray Delgado,26,16,Maj-AL,Houston,19,41,37,4,9,1,0,1,4,3,0,7,0,1,0,0,0,0,0.243,0.3,0.351,0.651,669384
Jonny DeLuca,27,6,Maj-AL,Tampa Bay,90,296,281,36,75,20,0,9,42,13,0,61,0,2,0,8,14,6,0.267,0.299,0.434,0.733,676356
Rafael Devers,29,6,Maj-NL,San Francisco,137,583,516,79,130,32,1,30,79,61,5,150,2,0,4,12,0,0,0.252,0.331,0.492,0.823,646240
Zach Dezenzo,26,34,Maj-AL,Houston,35,82,75,11,16,4,0,1,3,7,0,31,0,0,0,1,1,0,0.213,0.28,0.307,0.587,701305
Elias D\xc3\xadaz,35,6,Maj-AL,"Kansas City,Texas",71,189,176,16,40,11,0,6,24,7,1,43,2,2,2,2,0,0,0.227,0.262,0.392,0.654,553869
Yainer Diaz,27,7,Maj-AL,Houston,75,274,260,30,68,11,0,10,33,10,0,43,2,0,2,7,0,2,0.262,0.292,0.419,0.711,673237
Yandy D\xc3\xadaz,34,6,Maj-AL,Tampa Bay,132,587,523,78,157,22,1,20,75,49,5,85,10,0,5,14,3,1,0.3,0.368,0.461,0.829,650490
Dillon Dingler,27,6,Maj-AL,Detroit,127,535,483,65,120,24,2,26,82,32,0,121,15,0,3,12,0,0,0.248,0.313,0.468,0.781,693307
Jasson Dom\xc3\xadnguez,23,34,Maj-AL,New York,53,212,200,21,46,12,0,6,14,9,0,46,2,0,0,1,7,1,0.23,0.27,0.38,0.65,691176
Brendan Donovan,29,16,Maj-AL,Seattle,39,159,137,12,38,7,1,3,15,15,0,23,6,0,1,5,1,1,0.277,0.371,0.409,0.78,680977
Brenton Doyle,28,6,"Maj-AL,Maj-NL","Chicago,Colorado",69,182,169,26,36,6,0,3,12,12,0,58,0,1,0,1,12,3,0.213,0.265,0.302,0.567,686668
Mauricio Dub\xc3\xb3n,31,6,Maj-NL,Atlanta,131,528,489,58,131,24,2,10,64,31,0,63,2,1,2,7,7,2,0.268,0.313,0.387,0.699,643289
Blake Dunn,27,72,Maj-NL,Cincinnati,38,155,142,20,40,7,1,2,7,10,0,33,2,0,1,2,5,3,0.282,0.335,0.387,0.723,694362
Oliver Dunn,28,92,Maj-AL,Tampa Bay,9,12,11,4,1,0,0,0,1,1,0,3,0,0,0,0,0,0,0.091,0.167,0.091,0.258,686554
Ezequiel Duran,27,6,Maj-AL,Texas,129,499,451,61,123,26,4,15,73,38,0,119,4,1,5,5,10,3,0.273,0.331,0.448,0.779,677649
Jarren Duran,29,6,Maj-AL,Boston,129,537,488,61,101,14,4,19,68,35,3,148,5,2,7,4,18,4,0.207,0.264,0.369,0.632,680776
Rodolfo Dur\xc3\xa1n,28,38,Maj-NL,San Diego,38,91,82,8,12,4,0,3,8,7,0,24,1,1,0,3,0,0,0.146,0.222,0.305,0.527,660710
Caleb Durbin,26,6,Maj-AL,Boston,131,499,439,66,111,22,1,12,62,40,1,68,10,6,4,7,16,5,0.253,0.327,0.39,0.716,702332
Nate Eaton,29,56,Maj-AL,Boston,14,39,32,3,4,2,0,1,5,5,0,12,2,0,0,0,2,0,0.125,0.282,0.281,0.563,681987
Tommy Edman,31,7,Maj-NL,Los Angeles,60,231,204,30,53,9,2,5,27,15,0,48,10,2,0,4,5,2,0.26,0.341,0.397,0.738,669242
Xavier Edwards,26,7,Maj-NL,Miami,137,574,500,59,141,17,6,6,51,65,4,77,0,3,6,13,20,5,0.282,0.361,0.376,0.737,669364
Bryce Eldridge,21,6,Maj-NL,San Francisco,92,379,331,43,87,17,0,15,43,47,1,100,0,0,1,0,1,0,0.263,0.354,0.45,0.804,805811
Colt Emerson,20,24,Maj-AL,Seattle,69,241,221,24,42,6,1,8,23,15,0,83,2,1,2,3,3,1,0.19,0.246,0.335,0.581,806068
Jerar Encarnacion,28,126,Maj-NL,San Francisco,17,35,34,1,6,1,0,0,0,1,0,8,0,0,0,1,0,0,0.176,0.2,0.206,0.406,666464
Christian Encarnacion-Strand,26,6,Maj-AL,Baltimore,36,132,122,13,32,7,0,7,28,7,1,36,1,1,1,3,1,0,0.262,0.305,0.492,0.797,687952
J.C. Escarra,31,78,Maj-AL,New York,32,92,85,8,16,5,1,0,7,6,0,18,0,0,1,1,0,0,0.188,0.239,0.271,0.51,641555
Santiago Espinal,31,85,Maj-NL,Los Angeles,36,60,56,5,15,3,0,1,7,1,0,8,0,2,1,5,0,0,0.268,0.276,0.375,0.651,669289
A.J. Ewing,21,6,Maj-NL,New York,97,400,355,42,85,17,1,7,28,36,0,105,2,4,3,2,22,7,0.239,0.311,0.352,0.663,805999
Stuart Fairchild,30,35,Maj-AL,"Cleveland,Seattle",15,27,19,4,3,0,0,0,1,7,0,14,1,0,0,0,2,0,0.158,0.407,0.158,0.565,656413
Kyle Farmer,35,51,Maj-NL,Atlanta,12,16,15,2,4,1,0,0,3,0,0,4,0,0,1,0,0,0,0.267,0.25,0.333,0.583,571657
Kyler Fedko,26,60,Maj-AL,Minnesota,14,19,16,1,0,0,0,0,1,2,0,8,0,0,1,0,0,1,0.0,0.105,0.0,0.105,693459
Hunter Feduccia,29,8,"Maj-AL,Maj-NL","Los Angeles,Tampa Bay",80,209,183,20,44,9,1,3,16,20,0,51,1,4,1,2,0,0,0.24,0.317,0.35,0.667,676439
